
null
cycle: 1.0; biomasse_totale: 0.0
cycle: 2.0; biomasse_totale: 0.0
cycle: 3.0; biomasse_totale: 0.0
cycle: 4.0; biomasse_totale: 0.0
cycle: 5.0; biomasse_totale: 0.0
cycle: 6.0; biomasse_totale: 0.0
cycle: 7.0; biomasse_totale: 0.0
cycle: 8.0; biomasse_totale: 0.0
cycle: 9.0; biomasse_totale: 0.0
cycle: 10.0; biomasse_totale: 0.0
cycle: 11.0; biomasse_totale: 0.0
cycle: 12.0; biomasse_totale: 0.0
cycle: 13.0; biomasse_totale: 0.0
cycle: 14.0; biomasse_totale: 0.0
cycle: 15.0; biomasse_totale: 0.0
cycle: 16.0; biomasse_totale: 0.0
cycle: 17.0; biomasse_totale: 0.0
cycle: 18.0; biomasse_totale: 0.0
cycle: 19.0; biomasse_totale: 0.0
cycle: 20.0; biomasse_totale: 0.0
cycle: 21.0; biomasse_totale: 0.0
cycle: 22.0; biomasse_totale: 0.0
cycle: 23.0; biomasse_totale: 0.0
cycle: 24.0; biomasse_totale: 0.0
cycle: 25.0; biomasse_totale: 0.0
cycle: 26.0; biomasse_totale: 0.0
cycle: 27.0; biomasse_totale: 0.0
cycle: 28.0; biomasse_totale: 0.0
cycle: 29.0; biomasse_totale: 0.0
cycle: 30.0; biomasse_totale: 0.0
cycle: 31.0; biomasse_totale: 0.0
cycle: 32.0; biomasse_totale: 0.0
cycle: 33.0; biomasse_totale: 0.0
cycle: 34.0; biomasse_totale: 0.0
cycle: 35.0; biomasse_totale: 0.0
cycle: 36.0; biomasse_totale: 0.0
cycle: 37.0; biomasse_totale: 0.0
cycle: 38.0; biomasse_totale: 0.0
cycle: 39.0; biomasse_totale: 0.0
cycle: 40.0; biomasse_totale: 0.0
cycle: 41.0; biomasse_totale: 0.0
cycle: 42.0; biomasse_totale: 0.0
cycle: 43.0; biomasse_totale: 0.0
cycle: 44.0; biomasse_totale: 0.0
cycle: 45.0; biomasse_totale: 0.0
cycle: 46.0; biomasse_totale: 0.0
cycle: 47.0; biomasse_totale: 0.0
cycle: 48.0; biomasse_totale: 0.0
